"ligand","receptor","LR pair"
"CD247","HLA-A","CD247 - HLA-A"
"CD247","HLA-B","CD247 - HLA-B"
"CD247","HLA-C","CD247 - HLA-C"
"CD247","HLA-DPA1","CD247 - HLA-DPA1"
"CD247","HLA-DQA1","CD247 - HLA-DQA1"
"CD247","HLA-DQA2","CD247 - HLA-DQA2"
"CD247","HLA-DQB1","CD247 - HLA-DQB1"
"CD247","HLA-DQB2","CD247 - HLA-DQB2"
"CD247","HLA-DRA","CD247 - HLA-DRA"
"CD247","HLA-DRB1","CD247 - HLA-DRB1"
"CD247","HLA-DRB3","CD247 - HLA-DRB3"
"CD247","HLA-E","CD247 - HLA-E"
"CD247","HLA-F","CD247 - HLA-F"
"CD247","HLA-G","CD247 - HLA-G"
"CD247","IFNG","CD247 - IFNG"
"CD247","IL2RA","CD247 - IL2RA"
"CD247","IL2RB","CD247 - IL2RB"
"CD247","IL2RG","CD247 - IL2RG"
"CD247","IL2","CD247 - IL2"
"CD247","KLB","CD247 - KLB"
"CD247","KL","CD247 - KL"
"CD247","LAT2","CD247 - LAT2"
"CD247","NCKAP1L","CD247 - NCKAP1L"
"CD247","NCR1","CD247 - NCR1"
"CD247","PRF1","CD247 - PRF1"
"CD247","PTPRC","CD247 - PTPRC"
"CD247","SMC3","CD247 - SMC3"
"CD247","TRAC","CD247 - TRAC"
"CD247","TRBC1","CD247 - TRBC1"
"CD247","TRBV12-3","CD247 - TRBV12-3"
"CD247","UGGT1","CD247 - UGGT1"
"CD247","VCP","CD247 - VCP"
"CD276","RYK","CD276 - RYK"
"CD28","B2M","CD28 - B2M"
"CD28","CD247","CD28 - CD247"
"CD28","CD3D","CD28 - CD3D"
"CD28","CD3E","CD28 - CD3E"
"CD28","CD3G","CD28 - CD3G"
"CD28","CD86","CD28 - CD86"
"CD28","CD8A","CD28 - CD8A"
"CD28","CD8B","CD28 - CD8B"
"CD28","FCGR1A","CD28 - FCGR1A"
"CD28","FCGR2A","CD28 - FCGR2A"
"CD28","FCGR3A","CD28 - FCGR3A"
"CD28","FGF10","CD28 - FGF10"
"CD28","FGF16","CD28 - FGF16"
"CD28","FGF17","CD28 - FGF17"
"CD28","FGF18","CD28 - FGF18"
"CD28","FGF19","CD28 - FGF19"
"CD28","FGF1","CD28 - FGF1"
"CD28","FGF20","CD28 - FGF20"
"CD28","FGF22","CD28 - FGF22"
"CD28","FGF23","CD28 - FGF23"
"CD28","FGF2","CD28 - FGF2"
"CD28","FGF3","CD28 - FGF3"
"CD28","FGF4","CD28 - FGF4"
"CD28","FGF5","CD28 - FGF5"
"CD28","FGF6","CD28 - FGF6"
"CD28","FGF7","CD28 - FGF7"
"CD28","FGF8","CD28 - FGF8"
"CD28","FGF9","CD28 - FGF9"
"CD28","FGFR1","CD28 - FGFR1"
"CD28","FGFR2","CD28 - FGFR2"
"CD28","FGFR3","CD28 - FGFR3"
"CD28","FGFR4","CD28 - FGFR4"
"CD28","HLA-A","CD28 - HLA-A"
"CD28","HLA-DRA","CD28 - HLA-DRA"
"CD28","HLA-DRB1","CD28 - HLA-DRB1"
"CD28","IFNG","CD28 - IFNG"
"CD28","IL12A","CD28 - IL12A"
"CD28","IL2","CD28 - IL2"
"CD28","KLB","CD28 - KLB"
"CD28","KL","CD28 - KL"
"CD28","LAT2","CD28 - LAT2"
"CD28","NCKAP1L","CD28 - NCKAP1L"
"CD28","PRF1","CD28 - PRF1"
"CD28","TRAC","CD28 - TRAC"
"CD28","TRAF2","CD28 - TRAF2"
"CD28","TRBC1","CD28 - TRBC1"
"CD320","EPHB2","CD320 - EPHB2"
"CD320","TCN2","CD320 - TCN2"
"CD320","TGFBR2","CD320 - TGFBR2"
"CD36","TLR2","CD36 - TLR2"
"CD36","TLR6","CD36 - TLR6"
"CD3D","CD28","CD3D - CD28"
"CD3D","CD3E","CD3D - CD3E"
"CD3D","CD3G","CD3D - CD3G"
"CD3D","CD4","CD3D - CD4"
"CD3D","CD80","CD3D - CD80"
"CD3D","CD86","CD3D - CD86"
"CD3D","CD8B","CD3D - CD8B"
"CD3D","DBNL","CD3D - DBNL"
"CD3D","EGFR","CD3D - EGFR"
"CD3D","EGF","CD3D - EGF"
"CD3D","HLA-A","CD3D - HLA-A"
"CD3D","HLA-B","CD3D - HLA-B"
"CD3D","HLA-C","CD3D - HLA-C"
"CD3D","HLA-DPA1","CD3D - HLA-DPA1"
"CD3D","HLA-DQA1","CD3D - HLA-DQA1"
"CD3D","HLA-DQA2","CD3D - HLA-DQA2"
"CD3D","HLA-DQB1","CD3D - HLA-DQB1"
"CD3D","HLA-DQB2","CD3D - HLA-DQB2"
"CD3D","HLA-DRA","CD3D - HLA-DRA"
"CD3D","HLA-DRB1","CD3D - HLA-DRB1"
"CD3D","HLA-DRB3","CD3D - HLA-DRB3"
"CD3D","HLA-E","CD3D - HLA-E"
"CD3D","HLA-F","CD3D - HLA-F"
"CD3D","HLA-G","CD3D - HLA-G"
"CD3D","IFNG","CD3D - IFNG"
"CD3D","IL2RA","CD3D - IL2RA"
"CD3D","IL2RB","CD3D - IL2RB"
"CD3D","IL2RG","CD3D - IL2RG"
"CD3D","IL2","CD3D - IL2"
"CD3D","NR3C1","CD3D - NR3C1"
"CD3D","PRF1","CD3D - PRF1"
"CD3D","TRAC","CD3D - TRAC"
"CD3D","TRBC1","CD3D - TRBC1"
"CD3D","TRBV12-3","CD3D - TRBV12-3"
"CD3E","CD28","CD3E - CD28"
"CD3E","CD4","CD3E - CD4"
"CD3E","CD80","CD3E - CD80"
"CD3E","CD86","CD3E - CD86"
"CD3E","CD8A","CD3E - CD8A"
"CD3E","CD8B","CD3E - CD8B"
"CD3E","DBNL","CD3E - DBNL"
"CD3E","EGFR","CD3E - EGFR"
"CD3E","EGF","CD3E - EGF"
"CD3E","HLA-B","CD3E - HLA-B"
"CD3E","HLA-C","CD3E - HLA-C"
"CD3E","HLA-DPA1","CD3E - HLA-DPA1"
"CD3E","HLA-DQA1","CD3E - HLA-DQA1"
"CD3E","HLA-DQA2","CD3E - HLA-DQA2"
"CD3E","HLA-DQB1","CD3E - HLA-DQB1"
"CD3E","HLA-DQB2","CD3E - HLA-DQB2"
"CD3E","HLA-DRA","CD3E - HLA-DRA"
"CD3E","HLA-DRB1","CD3E - HLA-DRB1"
"CD3E","HLA-DRB3","CD3E - HLA-DRB3"
"CD3E","HLA-E","CD3E - HLA-E"
"CD3E","HLA-F","CD3E - HLA-F"
"CD3E","HLA-G","CD3E - HLA-G"
"CD3E","IFNG","CD3E - IFNG"
"CD3E","IL2RA","CD3E - IL2RA"
"CD3E","IL2RB","CD3E - IL2RB"
"CD3E","IL2RG","CD3E - IL2RG"
"CD3E","IL2","CD3E - IL2"
"CD3E","PRF1","CD3E - PRF1"
"CD3E","TRAC","CD3E - TRAC"
"CD3E","TRBC1","CD3E - TRBC1"
"CD3E","TRBV12-3","CD3E - TRBV12-3"
"CD3G","CD28","CD3G - CD28"
"CD3G","CD4","CD3G - CD4"
"CD3G","CD80","CD3G - CD80"
"CD3G","CD86","CD3G - CD86"
"CD3G","CD8A","CD3G - CD8A"
"CD3G","CD8B","CD3G - CD8B"
"CD3G","DBNL","CD3G - DBNL"
"CD3G","EGFR","CD3G - EGFR"
"CD3G","EGF","CD3G - EGF"
"CD3G","FCGR1A","CD3G - FCGR1A"
"CD3G","FCGR3A","CD3G - FCGR3A"
"CD3G","FGF10","CD3G - FGF10"
"CD3G","FGF16","CD3G - FGF16"
"CD3G","FGF17","CD3G - FGF17"
"CD3G","FGF18","CD3G - FGF18"
"CD3G","FGF19","CD3G - FGF19"
"CD3G","FGF1","CD3G - FGF1"
"CD3G","FGF20","CD3G - FGF20"
"CD3G","FGF22","CD3G - FGF22"
"CD3G","FGF23","CD3G - FGF23"
"CD3G","FGF2","CD3G - FGF2"
"CD3G","FGF3","CD3G - FGF3"
"CD3G","FGF4","CD3G - FGF4"
"CD3G","FGF5","CD3G - FGF5"
"CD3G","FGF6","CD3G - FGF6"
"CD3G","FGF7","CD3G - FGF7"
"CD3G","FGF8","CD3G - FGF8"
"CD3G","FGF9","CD3G - FGF9"
"CD3G","FGFR1","CD3G - FGFR1"
"CD3G","FGFR2","CD3G - FGFR2"
"CD3G","FGFR3","CD3G - FGFR3"
"CD3G","FGFR4","CD3G - FGFR4"
"CD3G","HLA-A","CD3G - HLA-A"
"CD3G","HLA-B","CD3G - HLA-B"
"CD3G","HLA-C","CD3G - HLA-C"
"CD3G","HLA-DPA1","CD3G - HLA-DPA1"
"CD3G","HLA-DQA1","CD3G - HLA-DQA1"
"CD3G","HLA-DQA2","CD3G - HLA-DQA2"
"CD3G","HLA-DQB1","CD3G - HLA-DQB1"
"CD3G","HLA-DQB2","CD3G - HLA-DQB2"
"CD3G","HLA-DRA","CD3G - HLA-DRA"
"CD3G","HLA-DRB1","CD3G - HLA-DRB1"
"CD3G","HLA-DRB3","CD3G - HLA-DRB3"
"CD3G","HLA-E","CD3G - HLA-E"
"CD3G","HLA-F","CD3G - HLA-F"
"CD3G","HLA-G","CD3G - HLA-G"
"CD3G","IFNG","CD3G - IFNG"
"CD3G","IL2RA","CD3G - IL2RA"
"CD3G","IL2RB","CD3G - IL2RB"
"CD3G","IL2RG","CD3G - IL2RG"
"CD3G","IL2","CD3G - IL2"
"CD3G","KLB","CD3G - KLB"
"CD3G","KL","CD3G - KL"
"CD3G","LAT2","CD3G - LAT2"
"CD3G","NCKAP1L","CD3G - NCKAP1L"
"CD3G","PRF1","CD3G - PRF1"
"CD3G","TRAC","CD3G - TRAC"
"CD3G","TRBC1","CD3G - TRBC1"
"CD3G","TRBV12-3","CD3G - TRBV12-3"
"CD4","CD247","CD4 - CD247"
"CD4","CD28","CD4 - CD28"
"CD4","CD3D","CD4 - CD3D"
"CD4","CD3E","CD4 - CD3E"
"CD4","CD3G","CD4 - CD3G"
"CD4","CD44","CD4 - CD44"
"CD4","CD5","CD4 - CD5"
"CD4","CD80","CD4 - CD80"
"CD4","CD86","CD4 - CD86"
"CD4","CTSD","CD4 - CTSD"
"CD4","CXCL12","CD4 - CXCL12"
"CD4","DBNL","CD4 - DBNL"
"CD4","DEFA1B","CD4 - DEFA1B"
"CD4","DEFA1","CD4 - DEFA1"
"CD4","DEFA3","CD4 - DEFA3"
"CD4","DPP4","CD4 - DPP4"
"CD4","EGFR","CD4 - EGFR"
"CD4","EGF","CD4 - EGF"
"CD4","FCGR3A","CD4 - FCGR3A"
"CD4","HLA-DPA1","CD4 - HLA-DPA1"
"CD4","HLA-DQA1","CD4 - HLA-DQA1"
"CD4","HLA-DQA2","CD4 - HLA-DQA2"
"CD4","HLA-DQB1","CD4 - HLA-DQB1"
"CD4","HLA-DQB2","CD4 - HLA-DQB2"
"CD4","HLA-DRA","CD4 - HLA-DRA"
"CD4","HLA-DRB1","CD4 - HLA-DRB1"
"CD4","HLA-DRB3","CD4 - HLA-DRB3"
"CD4","IFNG","CD4 - IFNG"
"CD4","IL2RA","CD4 - IL2RA"
"CD4","LGALS1","CD4 - LGALS1"
"CD4","MFAP1","CD4 - MFAP1"
"CD4","PLSCR1","CD4 - PLSCR1"
"CD4","PTPRC","CD4 - PTPRC"
"CD4","TFRC","CD4 - TFRC"
"CD4","TRAC","CD4 - TRAC"
"CD4","TRBC1","CD4 - TRBC1"
"CD4","TRBV12-3","CD4 - TRBV12-3"
"CD40","CD40LG","CD40 - CD40LG"
"CD40","CTSL","CD40 - CTSL"
"CD40","CXCR4","CD40 - CXCR4"
"CD40","IGFBP5","CD40 - IGFBP5"
"CD40","IL11RA","CD40 - IL11RA"
"CD40","IL11","CD40 - IL11"
"CD40","SORT1","CD40 - SORT1"
"CD40","SPP1","CD40 - SPP1"
"CD40","PLAU","CD40 - PLAU"
"CD40LG","CSF2RB","CD40LG - CSF2RB"
"CD40LG","CSF3R","CD40LG - CSF3R"
"CD40LG","CXCR2","CD40LG - CXCR2"
"CD40LG","DRD1","CD40LG - DRD1"
"CD40LG","CTSL","CD40LG - CTSL"
"CD40LG","CXCR1","CD40LG - CXCR1"
"CD40LG","DRD4","CD40LG - DRD4"
"CD40LG","DRD5","CD40LG - DRD5"
"CD40LG","EPOR","CD40LG - EPOR"
"CD40LG","FASLG","CD40LG - FASLG"
"CD40LG","FZD10","CD40LG - FZD10"
"CD40LG","FZD1","CD40LG - FZD1"
"CD40LG","FZD2","CD40LG - FZD2"
"CD40LG","FZD3","CD40LG - FZD3"
"CD40LG","FZD4","CD40LG - FZD4"
"CD40LG","FZD5","CD40LG - FZD5"
"CD40LG","FZD6","CD40LG - FZD6"
"CD40LG","DRD2","CD40LG - DRD2"
"CD40LG","DRD3","CD40LG - DRD3"
"CD40LG","FZD9","CD40LG - FZD9"
"CD40LG","GHR","CD40LG - GHR"
"CD40LG","GRM1","CD40LG - GRM1"
"CD40LG","GRM2","CD40LG - GRM2"
"CD40LG","GRM3","CD40LG - GRM3"
"CD40LG","GRM4","CD40LG - GRM4"
"CD40LG","GRM5","CD40LG - GRM5"
"CD40LG","GRM6","CD40LG - GRM6"
"CD40LG","GRM7","CD40LG - GRM7"
"CD40LG","GRM8","CD40LG - GRM8"
"CD40LG","FZD7","CD40LG - FZD7"
"CD40LG","FZD8","CD40LG - FZD8"
"CD40LG","CD69","CD40LG - CD69"
"CD40LG","CD80","CD40LG - CD80"
"CD40LG","CD86","CD40LG - CD86"
"CD40LG","CNTFR","CD40LG - CNTFR"
"CD40LG","CSF2RA","CD40LG - CSF2RA"
"CD40LG","IL13RA1","CD40LG - IL13RA1"
"CD40LG","IL13RA2","CD40LG - IL13RA2"
"CD40LG","IL15RA","CD40LG - IL15RA"
"CD40LG","IL17RA","CD40LG - IL17RA"
"CD40LG","IL18R1","CD40LG - IL18R1"
"CD40LG","IL1B","CD40LG - IL1B"
"CD40LG","IL1R1","CD40LG - IL1R1"
"CD40LG","IL1R2","CD40LG - IL1R2"
"CD40LG","IL1RAP","CD40LG - IL1RAP"
"CD40LG","IL2RA","CD40LG - IL2RA"
"CD40LG","IL2RB","CD40LG - IL2RB"
"CD40LG","IL2RG","CD40LG - IL2RG"
"CD40LG","IL3RA","CD40LG - IL3RA"
"CD40LG","IL4R","CD40LG - IL4R"
"CD40LG","IL5RA","CD40LG - IL5RA"
"CD40LG","IL6R","CD40LG - IL6R"
"CD40LG","IL6ST","CD40LG - IL6ST"
"CD40LG","IL7R","CD40LG - IL7R"
"CD40LG","IL9R","CD40LG - IL9R"
"CD40LG","ITGAM","CD40LG - ITGAM"
"CD40LG","ITGB2","CD40LG - ITGB2"
"CD40LG","LEPR","CD40LG - LEPR"
"CD40LG","LIFR","CD40LG - LIFR"
"CD40LG","MPL","CD40LG - MPL"
"CD40LG","OSMR","CD40LG - OSMR"
"CD40LG","PLAU","CD40LG - PLAU"
"CD40LG","PRLR","CD40LG - PRLR"
"CD40LG","SMO","CD40LG - SMO"
"CD40LG","VCAM1","CD40LG - VCAM1"
"CD40LG","IFNAR1","CD40LG - IFNAR1"
"CD40LG","IFNAR2","CD40LG - IFNAR2"
"CD40LG","IFNGR1","CD40LG - IFNGR1"
"CD40LG","IFNGR2","CD40LG - IFNGR2"
"CD40LG","IL10RA","CD40LG - IL10RA"
"CD40LG","IL10RB","CD40LG - IL10RB"
"CD40LG","IL12RB1","CD40LG - IL12RB1"
"CD40LG","IL12RB2","CD40LG - IL12RB2"
"CD44","CD9","CD44 - CD9"
"CD44","COL10A1","CD44 - COL10A1"
"CD44","COL11A1","CD44 - COL11A1"
"CD44","COL11A2","CD44 - COL11A2"
"CD44","COL12A1","CD44 - COL12A1"
"CD44","COL14A1","CD44 - COL14A1"
"CD44","COL15A1","CD44 - COL15A1"
"CD44","COL16A1","CD44 - COL16A1"
"CD44","COL18A1","CD44 - COL18A1"
"CD44","COL19A1","CD44 - COL19A1"
"CD44","COL2A1","CD44 - COL2A1"
"CD44","COL3A1","CD44 - COL3A1"
"CD44","COL4A1","CD44 - COL4A1"
"CD44","COL4A2","CD44 - COL4A2"
"CD44","COL4A3","CD44 - COL4A3"
"CD44","COL4A4","CD44 - COL4A4"
"CD44","COL4A5","CD44 - COL4A5"
"CD44","COL4A6","CD44 - COL4A6"
"CD44","COL5A2","CD44 - COL5A2"
"CD44","COL6A1","CD44 - COL6A1"
"CD44","COL6A2","CD44 - COL6A2"
"CD44","COL7A1","CD44 - COL7A1"
"CD44","COL8A1","CD44 - COL8A1"
"CD44","COL8A2","CD44 - COL8A2"
"CD44","COL9A1","CD44 - COL9A1"
"CD44","COL9A2","CD44 - COL9A2"
"CD44","COL9A3","CD44 - COL9A3"
"CD44","DCN","CD44 - DCN"
"CD44","ELN","CD44 - ELN"
"CD44","ESR1","CD44 - ESR1"
"CD44","GPC1","CD44 - GPC1"
"CD44","GPC4","CD44 - GPC4"
"CD44","HSPG2","CD44 - HSPG2"
"CD44","HYAL2","CD44 - HYAL2"
"CD44","ITGA10","CD44 - ITGA10"
"CD44","ITGA11","CD44 - ITGA11"
"CD44","ITGA1","CD44 - ITGA1"
"CD44","ITGA2B","CD44 - ITGA2B"
"CD44","ITGA4","CD44 - ITGA4"
"CD44","ITGA6","CD44 - ITGA6"
"CD44","ITGA7","CD44 - ITGA7"
"CD44","ITGA8","CD44 - ITGA8"
"CD44","ITGA9","CD44 - ITGA9"
"CD44","ITGAD","CD44 - ITGAD"
"CD44","ITGAE","CD44 - ITGAE"
"CD44","ITGAL","CD44 - ITGAL"
"CD44","ITGAM","CD44 - ITGAM"
"CD44","ITGAX","CD44 - ITGAX"
"CD44","ITGB2","CD44 - ITGB2"
"CD44","ITGB3","CD44 - ITGB3"
"CD44","ITGB5","CD44 - ITGB5"
"CD44","ITGB6","CD44 - ITGB6"
"CD44","ITGB7","CD44 - ITGB7"
"CD44","ITGB8","CD44 - ITGB8"
"CD44","KERA","CD44 - KERA"
"CD44","LAMB3","CD44 - LAMB3"
"CD44","LAMC2","CD44 - LAMC2"
"CD44","LUM","CD44 - LUM"
"CD44","MMP14","CD44 - MMP14"
"CD44","MMP2","CD44 - MMP2"
"CD44","MMP9","CD44 - MMP9"
"CD44","NCAN","CD44 - NCAN"
"CD44","PLAUR","CD44 - PLAUR"
"CD44","PLAU","CD44 - PLAU"
"CD44","RARG","CD44 - RARG"
"CD44","RXRG","CD44 - RXRG"
"CD44","SDC4","CD44 - SDC4"
"CD44","SMC3","CD44 - SMC3"
"CD44","SPN","CD44 - SPN"
"CD44","TGFBR2","CD44 - TGFBR2"
"CD44","TNC","CD44 - TNC"
"CD44","TNXB","CD44 - TNXB"
"CD44","WNT10A","CD44 - WNT10A"
"CD44","WNT10B","CD44 - WNT10B"
"CD44","WNT11","CD44 - WNT11"
"CD44","WNT16","CD44 - WNT16"
"CD44","WNT1","CD44 - WNT1"
"CD44","WNT2B","CD44 - WNT2B"
"CD44","WNT2","CD44 - WNT2"
"CD44","WNT3A","CD44 - WNT3A"
"CD44","WNT3","CD44 - WNT3"
"CD44","WNT4","CD44 - WNT4"
"CD44","WNT5A","CD44 - WNT5A"
"CD44","WNT5B","CD44 - WNT5B"
"CD44","WNT6","CD44 - WNT6"
"CD44","WNT7A","CD44 - WNT7A"
"CD44","WNT7B","CD44 - WNT7B"
"CD44","WNT8A","CD44 - WNT8A"
"CD44","WNT8B","CD44 - WNT8B"
"CD44","WNT9A","CD44 - WNT9A"
"CD44","WNT9B","CD44 - WNT9B"
"CD46","C4A","CD46 - C4A"
"CD46","HNF4A","CD46 - HNF4A"
"CD46","ITGA2","CD46 - ITGA2"
"CD46","JAG1","CD46 - JAG1"
"CD46","TSPAN4","CD46 - TSPAN4"
"CD47","COL4A1","CD47 - COL4A1"
"CD47","COL4A2","CD47 - COL4A2"
"CD47","COL4A4","CD47 - COL4A4"
"CD47","COL4A5","CD47 - COL4A5"
"CD47","COL4A6","CD47 - COL4A6"
"CD47","COMP","CD47 - COMP"
"CD47","FAS","CD47 - FAS"
"CD47","GP1BA","CD47 - GP1BA"
"CD47","LPAR1","CD47 - LPAR1"
"CD48","IL18RAP","CD48 - IL18RAP"
"CD48","PRAP1","CD48 - PRAP1"
"CD5","CD79A","CD5 - CD79A"
"CD5","CD79B","CD5 - CD79B"
"CD5","SMC3","CD5 - SMC3"
"CD55","CFB","CD55 - CFB"
"CD55","HNF4A","CD55 - HNF4A"
"CD58","LGALS3","CD58 - LGALS3"
"CD58","THRA","CD58 - THRA"
"CD6","LGALS1","CD6 - LGALS1"
"CD7","CTSL","CD7 - CTSL"
"CD72","CD79A","CD72 - CD79A"
"CD72","CD79B","CD72 - CD79B"
"CD74","CTSF","CD74 - CTSF"
"CD74","CTSL","CD74 - CTSL"
"CD74","CXCR4","CD74 - CXCR4"
"CD74","ERBB4","CD74 - ERBB4"
"CD74","HLA-DQA2","CD74 - HLA-DQA2"
"CD74","HLA-DQB2","CD74 - HLA-DQB2"
"CD74","HLA-DRB3","CD74 - HLA-DRB3"
"CD79A","FAM213A","CD79A - FAM213A"
"CD79A","FCAR","CD79A - FCAR"
"CD79A","FCGR2B","CD79A - FCGR2B"
"CD79A","IGHD","CD79A - IGHD"
"CD79A","IGHM","CD79A - IGHM"
"CD79A","ITPR2","CD79A - ITPR2"
"CD79A","ITPR3","CD79A - ITPR3"
"CD79A","TRPC7","CD79A - TRPC7"
"CD79B","FCGR2B","CD79B - FCGR2B"
"CD79B","IGHD","CD79B - IGHD"
"CD79B","IGHM","CD79B - IGHM"
"CD79B","ITPR2","CD79B - ITPR2"
"CD79B","ITPR3","CD79B - ITPR3"
"CD79B","TRPC7","CD79B - TRPC7"
"CD80","B2M","CD80 - B2M"
"CD80","CD247","CD80 - CD247"
"CD80","CD3D","CD80 - CD3D"
"CD80","CD3E","CD80 - CD3E"
"CD80","CD3G","CD80 - CD3G"
"CD80","CD4","CD80 - CD4"
"CD80","CD8A","CD80 - CD8A"
"CD80","CD8B","CD80 - CD8B"
"CD80","CXCR1","CD80 - CXCR1"
"CD80","CXCR2","CD80 - CXCR2"
"CD80","DRD1","CD80 - DRD1"
"CD80","DRD2","CD80 - DRD2"
"CD80","DRD3","CD80 - DRD3"
"CD80","DRD4","CD80 - DRD4"
"CD80","DRD5","CD80 - DRD5"
"CD80","FCGR1A","CD80 - FCGR1A"
"CD80","FCGR2A","CD80 - FCGR2A"
"CD80","FCGR3A","CD80 - FCGR3A"
"CD80","FGF10","CD80 - FGF10"
"CD80","FGF16","CD80 - FGF16"
"CD80","FGF17","CD80 - FGF17"
"CD80","FGF18","CD80 - FGF18"
"CD80","FGF19","CD80 - FGF19"
"CD80","FGF1","CD80 - FGF1"
"CD80","FGF20","CD80 - FGF20"
"CD80","FGF22","CD80 - FGF22"
"CD80","FGF23","CD80 - FGF23"
"CD80","FGF2","CD80 - FGF2"
"CD80","FGF3","CD80 - FGF3"
"CD80","FGF4","CD80 - FGF4"
"CD80","FGF5","CD80 - FGF5"
"CD80","FGF6","CD80 - FGF6"
"CD80","FGF7","CD80 - FGF7"
"CD80","FGF8","CD80 - FGF8"
"CD80","FGF9","CD80 - FGF9"
"CD80","FGFR1","CD80 - FGFR1"
"CD80","FGFR2","CD80 - FGFR2"
"CD80","FGFR3","CD80 - FGFR3"
"CD80","FGFR4","CD80 - FGFR4"
"CD80","FZD10","CD80 - FZD10"
"CD80","FZD1","CD80 - FZD1"
"CD80","FZD2","CD80 - FZD2"
"CD80","FZD3","CD80 - FZD3"
"CD80","FZD4","CD80 - FZD4"
"CD80","FZD5","CD80 - FZD5"
"CD80","FZD6","CD80 - FZD6"
"CD80","FZD7","CD80 - FZD7"
"CD80","FZD8","CD80 - FZD8"
"CD80","FZD9","CD80 - FZD9"
"CD80","GRM1","CD80 - GRM1"
"CD80","GRM2","CD80 - GRM2"
"CD80","GRM3","CD80 - GRM3"
"CD80","GRM4","CD80 - GRM4"
"CD80","GRM5","CD80 - GRM5"
"CD80","GRM6","CD80 - GRM6"
"CD80","GRM7","CD80 - GRM7"
"CD80","GRM8","CD80 - GRM8"
"CD80","HLA-A","CD80 - HLA-A"
"CD80","HLA-DRA","CD80 - HLA-DRA"
"CD80","HLA-DRB1","CD80 - HLA-DRB1"
"CD80","IFNG","CD80 - IFNG"
"CD80","KLB","CD80 - KLB"
"CD80","KL","CD80 - KL"
"CD80","LAT2","CD80 - LAT2"
"CD80","NCKAP1L","CD80 - NCKAP1L"
"CD80","PRF1","CD80 - PRF1"
"CD80","SMO","CD80 - SMO"
"CD80","TRAC","CD80 - TRAC"
"CD80","TRBC1","CD80 - TRBC1"
"CD86","B2M","CD86 - B2M"
"CD86","CD247","CD86 - CD247"
"CD86","CD3D","CD86 - CD3D"
"CD86","CD3E","CD86 - CD3E"
"CD86","CD3G","CD86 - CD3G"
"CD86","CD4","CD86 - CD4"
"CD86","CD8A","CD86 - CD8A"
"CD86","CD8B","CD86 - CD8B"
"CD86","CXCR1","CD86 - CXCR1"
"CD86","CXCR2","CD86 - CXCR2"
"CD86","DRD1","CD86 - DRD1"
"CD86","DRD2","CD86 - DRD2"
"CD86","DRD3","CD86 - DRD3"
"CD86","DRD4","CD86 - DRD4"
"CD86","DRD5","CD86 - DRD5"
"CD86","FCGR1A","CD86 - FCGR1A"
"CD86","FCGR2A","CD86 - FCGR2A"
"CD86","FCGR3A","CD86 - FCGR3A"
"CD86","FGF10","CD86 - FGF10"
"CD86","FGF16","CD86 - FGF16"
"CD86","FGF17","CD86 - FGF17"
"CD86","FGF18","CD86 - FGF18"
"CD86","FGF19","CD86 - FGF19"
"CD86","FGF1","CD86 - FGF1"
"CD86","FGF20","CD86 - FGF20"
"CD86","FGF22","CD86 - FGF22"
"CD86","FGF23","CD86 - FGF23"
"CD86","FGF2","CD86 - FGF2"
"CD86","FGF3","CD86 - FGF3"
"CD86","FGF4","CD86 - FGF4"
"CD86","FGF5","CD86 - FGF5"
"CD86","FGF6","CD86 - FGF6"
"CD86","FGF7","CD86 - FGF7"
"CD86","FGF8","CD86 - FGF8"
"CD86","FGF9","CD86 - FGF9"
"CD86","FGFR1","CD86 - FGFR1"
"CD86","FGFR2","CD86 - FGFR2"
"CD86","FGFR3","CD86 - FGFR3"
"CD86","FGFR4","CD86 - FGFR4"
"CD86","FZD10","CD86 - FZD10"
"CD86","FZD1","CD86 - FZD1"
"CD86","FZD2","CD86 - FZD2"
"CD86","FZD3","CD86 - FZD3"
"CD86","FZD4","CD86 - FZD4"
"CD86","FZD5","CD86 - FZD5"
"CD86","FZD6","CD86 - FZD6"
"CD86","FZD7","CD86 - FZD7"
"CD86","FZD8","CD86 - FZD8"
"CD86","FZD9","CD86 - FZD9"
"CD86","GRM1","CD86 - GRM1"
"CD86","GRM2","CD86 - GRM2"
"CD86","GRM3","CD86 - GRM3"
"CD86","GRM4","CD86 - GRM4"
"CD86","GRM5","CD86 - GRM5"
"CD86","GRM6","CD86 - GRM6"
"CD86","GRM7","CD86 - GRM7"
"CD86","GRM8","CD86 - GRM8"
"CD86","HLA-A","CD86 - HLA-A"
"CD86","HLA-DRA","CD86 - HLA-DRA"
"CD86","HLA-DRB1","CD86 - HLA-DRB1"
"CD86","IFNG","CD86 - IFNG"
"CD86","KLB","CD86 - KLB"
"CD86","KL","CD86 - KL"
"CD86","LAT2","CD86 - LAT2"
"CD86","NCKAP1L","CD86 - NCKAP1L"
"CD86","PRF1","CD86 - PRF1"
"CD86","SMO","CD86 - SMO"
"CD86","TRAC","CD86 - TRAC"
"CD86","TRBC1","CD86 - TRBC1"
"CD8A","CD28","CD8A - CD28"
"CD8A","CD80","CD8A - CD80"
"CD8A","CD86","CD8A - CD86"
"CD8A","HLA-B","CD8A - HLA-B"
"CD8A","HLA-C","CD8A - HLA-C"
"CD8A","HLA-E","CD8A - HLA-E"
"CD8A","HLA-F","CD8A - HLA-F"
